	word	quideword	cerf	pos
0	cattle		B1	
1	clothes		A1	
2	albeit		C2	
3	and	ALSO	A1	
4	and	AFTER	A1	
5	because		A1	
6	but		A1	
7	and	AFTER VERB	A2	
8	as	BECAUSE	A2	
9	although	BUT	B1	
10	although	DESPITE	B1	
11	and	EMPHASIZE	B1	
12	close		B1	
13	as	JOB	A1	
14	and	NUMBERS	A1	
15	as	LIKE	A2	
16	before	EARLIER	A2	
17	after		B1	
18	as	BEING	B1	
19	as	WHILE	B1	
20	as	LIKE	B1	
21	before	TO AVOID SOMETHING	B1	
22	before	UNTIL	B1	
23	but	EXPLAINING WHY	B1	
24	couch		A2	
25	eight		A1	
26	eighteen		A1	
27	eleven		A1	
28	fifteen		A1	
29	eighth		A2	
30	eighty		A2	
31	fifth		A2	
32	insofar as		C2	
33	five		A1	
34	four		A1	
35	fourteen		A1	
36	fifty		A2	
37	forty	NUMBER	A2	
38	fourth		A2	
39	hundred		A2	
40	if	DEPENDING	A2	
41	if	ALWAYS	B1	
42	if	MIGHT	B1	
43	if	WHETHER	B1	
44	if	WOULD/MIGHT/COULD HAVE	B2	
45	however		C2	
46	million		A2	
47	like		B1	
48	or	POSSIBILITIES	A1	
49	or	NOT EITHER	A2	
50	or	WARNING	B1	
51	or	CHANGE	B2	
52	only		C2	
53	nine		A1	
54	nineteen		A1	
55	one		A1	
56	ninety		A2	
57	ninth		A2	
58	now		B2	
59	once		B2	
60	or	EXPLAIN	C2	
61	seventy		A2	
62	provided (that)		B2	
63	second	ANOTHER	B1	
64	politically		C1	
65	second	AFTER FIRST	A1	
66	seven		A1	
67	seventeen		A1	
68	seventh		A2	
69	plus		B1	
70	second	ONLY ONE BETTER/BIGGER, ETC.	B1	
71	so	SENTENCE BEGINNING	A2	
72	six		A1	
73	sixteen		A1	
74	ten		A1	
75	thirteen		A1	
76	three		A1	
77	to	INFINITIVE	A1	
78	twelve		A1	
79	twenty	NUMBER	A1	
80	two	NUMBER	A1	
81	sixth		A2	
82	sixty		A2	
83	so	REASON	A2	
84	that	INTRODUCE PART	A2	
85	third		A2	
86	thirty		A2	
87	thousand		A2	
88	to	REASON	A2	
89	to	INSTEAD OF VERB	A2	
90	since	TIME	B1	
91	since	BECAUSE	B1	
92	though	DESPITE	B1	
93	till		B1	
94	unless		B1	
95	until	TIME	B1	
96	until	DIRECTIONS	B1	
97	though	BUT	B2	
98	zero	NUMBER	A2	
99	while	COMPARING	B1	
100	whereas		B2	
101	while	ALTHOUGH	B2	
102	zero	TEMPERATURE	B1	
103	when	AT WHAT TIME	A2	
104	where	POSITION	A2	
105	while	DURING	A2	
106	whenever	EVERY TIME	B1	
107	wherever	EVERY PLACE	B1	
