	word	quideword	cerf	pos
0	cattle		B1	
1	clothes		A1	
2	albeit		C2	
3	and	ALSO	A1	
4	and	AFTER	A1	
5	because		A1	
6	but	DIFFERENT STATEMENT	A1	
7	and	AFTER VERB	A2	
8	as	BECAUSE	A2	
9	although	BUT	B1	
10	although	DESPITE	B1	
11	and	EMPHASIZE	B1	
12	close		B1	
13	as	JOB	A1	
14	and	NUMBERS	A1	
15	as	USE	A2	
16	before	EARLIER	A2	
17	after		B1	
18	as	BEING OR APPEARING	B1	
19	as	WHILE	B1	
20	as	LIKE	B1	
21	before	TO AVOID SOMETHING	B1	
22	before	UNTIL	B1	
23	but	EXPLAINING WHY	B1	
24	eight		A1	
25	eighteen		A1	
26	eleven		A1	
27	eighth		A2	
28	eighty		A2	
29	insofar as		C2	
30	fifteen		A1	
31	five		A1	
32	four		A1	
33	fourteen		A1	
34	fifth		A2	
35	fifty		A2	
36	forty	NUMBER	A2	
37	fourth		A2	
38	hundred	NUMBER	A2	
39	if	DEPENDING	A2	
40	if	ALWAYS	B1	
41	if	MIGHT	B1	
42	if	WHETHER	B1	
43	if	WOULD/MIGHT/COULD HAVE	B2	
44	however		C2	
45	million	NUMBER	A2	
46	like		B1	
47	or	POSSIBILITIES	A1	
48	or	NOT EITHER	A2	
49	or	WARNING	B1	
50	or	CHANGE	B2	
51	only		C2	
52	nine		A1	
53	nineteen		A1	
54	one		A1	
55	ninety	NUMBER	A2	
56	ninth		A2	
57	now		B2	
58	once		B2	
59	or	REASON	C1	
60	provided (that)		B2	
61	second	ANOTHER	B1	
62	politically		C1	
63	second	AFTER FIRST	A1	
64	plus		B1	
65	second	ONLY ONE BETTER/BIGGER, ETC.	B1	
66	seventy		A2	
67	so	SENTENCE BEGINNING	A2	
68	seven		A1	
69	seventeen		A1	
70	six		A1	
71	sixteen		A1	
72	ten		A1	
73	thirteen		A1	
74	three		A1	
75	to	INFINITIVE	A1	
76	seventh		A2	
77	sixth		A2	
78	sixty		A2	
79	so	REASON	A2	
80	that		A2	
81	third		A2	
82	thirty		A2	
83	thousand	NUMBER	A2	
84	to	REASON	A2	
85	to	INSTEAD OF VERB	A2	
86	since	TIME	B1	
87	since	BECAUSE	B1	
88	though	DESPITE	B1	
89	till		B1	
90	though	BUT	B2	
91	zero	NUMBER	A2	
92	while	ALTHOUGH	B2	
93	while	COMPARING	B1	
94	whereas		B2	
95	zero	TEMPERATURE	B1	
96	twelve		A1	
97	twenty	NUMBER	A1	
98	two	NUMBER	A1	
99	when	AT WHAT TIME	A2	
100	where	POSITION	A2	
101	while	DURING	A2	
102	unless		B1	
103	until	TIME	B1	
104	until	DIRECTIONS	B1	
105	whenever	EVERY TIME	B1	
